timestamp,class,name
16:54:52:855, __InstanceDeletionEvent, chrome.exe, 7636
16:55:2:147, __InstanceCreationEvent, symerr.exe, 21324
16:55:3:179, __InstanceDeletionEvent, symerr.exe, 21324
16:55:15:607, __InstanceCreationEvent, chrome.exe, 10628
16:55:18:726, __InstanceCreationEvent, svchost.exe, 12860
16:55:18:726, __InstanceCreationEvent, svchost.exe, 13976
16:55:18:726, __InstanceCreationEvent, VSSVC.exe, 9356
16:55:19:759, __InstanceDeletionEvent, BackgroundDownload.exe, 19060
16:55:20:792, __InstanceDeletionEvent, SearchProtocolHost.exe, 8220
16:55:22:856, __InstanceCreationEvent, RuntimeBroker.exe, 1020
16:55:22:856, __InstanceDeletionEvent, BackgroundDownload.exe, 11604
16:55:22:871, __InstanceCreationEvent, RuntimeBroker.exe, 15192
16:55:31:113, __InstanceDeletionEvent, svchost.exe, 16916
16:55:50:722, __InstanceDeletionEvent, chrome.exe, 10628
16:56:3:124, __InstanceDeletionEvent, RuntimeBroker.exe, 1020
16:56:3:124, __InstanceDeletionEvent, RuntimeBroker.exe, 15192
16:56:15:522, __InstanceCreationEvent, chrome.exe, 20908
16:56:15:522, __InstanceCreationEvent, chrome.exe, 22496
16:56:15:537, __InstanceCreationEvent, chrome.exe, 5892
16:56:31:111, __InstanceDeletionEvent, chrome.exe, 20908
16:56:46:676, __InstanceDeletionEvent, chrome.exe, 12352
16:56:50:817, __InstanceDeletionEvent, chrome.exe, 22496
16:57:2:238, __InstanceCreationEvent, backgroundTaskHost.exe, 11380
16:57:3:270, __InstanceCreationEvent, RuntimeBroker.exe, 8288
16:57:3:270, __InstanceDeletionEvent, backgroundTaskHost.exe, 11380
16:57:14:692, __InstanceCreationEvent, chrome.exe, 17692
16:57:42:598, __InstanceDeletionEvent, RuntimeBroker.exe, 8288
16:57:50:857, __InstanceDeletionEvent, chrome.exe, 17692
16:58:15:649, __InstanceCreationEvent, chrome.exe, 9588
16:58:18:751, __InstanceDeletionEvent, VSSVC.exe, 9356
16:58:50:763, __InstanceDeletionEvent, chrome.exe, 9588
16:59:15:573, __InstanceCreationEvent, chrome.exe, 6524
16:59:50:714, __InstanceDeletionEvent, chrome.exe, 6524
17:0:15:545, __InstanceCreationEvent, chrome.exe, 22220
17:0:19:679, __InstanceDeletionEvent, svchost.exe, 12860
