timestamp,class,name
16:35:33:616, __InstanceDeletionEvent, identity_helper.exe, 23464
16:35:36:782, __InstanceDeletionEvent, svchost.exe, 17336
16:35:41:998, __InstanceCreationEvent, ctfmon.exe, 14500
16:35:43:62, __InstanceCreationEvent, svchost.exe, 13856
16:35:43:160, __InstanceDeletionEvent, LogonUI.exe, 18056
16:35:43:165, __InstanceDeletionEvent, taskhostw.exe, 5092
16:35:43:165, __InstanceDeletionEvent, chrome.exe, 8164
16:35:44:212, __InstanceDeletionEvent, chrome.exe, 24120
16:35:46:317, __InstanceDeletionEvent, ctfmon.exe, 14500
16:35:48:340, __InstanceCreationEvent, backgroundTaskHost.exe, 23124
16:35:49:409, __InstanceCreationEvent, RuntimeBroker.exe, 23868
16:35:49:414, __InstanceCreationEvent, RuntimeBroker.exe, 24564
16:35:51:619, __InstanceDeletionEvent, svchost.exe, 23656
16:35:53:647, __InstanceCreationEvent, RuntimeBroker.exe, 13980
16:36:1:135, __InstanceDeletionEvent, backgroundTaskHost.exe, 23124
16:36:12:806, __InstanceDeletionEvent, svchost.exe, 13856
16:36:22:90, __InstanceCreationEvent, chrome.exe, 23008
16:36:22:264, __InstanceDeletionEvent, backgroundTaskHost.exe, 24376
16:36:23:148, __InstanceCreationEvent, chrome.exe, 20092
16:36:23:313, __InstanceDeletionEvent, MoUsoCoreWorker.exe, 21028
16:36:30:665, __InstanceDeletionEvent, RuntimeBroker.exe, 23868
16:36:30:668, __InstanceDeletionEvent, RuntimeBroker.exe, 24564
16:36:41:183, __InstanceDeletionEvent, RuntimeBroker.exe, 13980
16:36:42:246, __InstanceDeletionEvent, chrome.exe, 23008
16:36:43:310, __InstanceDeletionEvent, chrome.exe, 22648
16:36:46:267, __InstanceCreationEvent, chrome.exe, 11992
16:36:46:269, __InstanceCreationEvent, chrome.exe, 344
16:36:48:373, __InstanceCreationEvent, backgroundTaskHost.exe, 6824
16:36:49:421, __InstanceCreationEvent, RuntimeBroker.exe, 9372
16:36:51:836, __InstanceDeletionEvent, RuntimeBroker.exe, 22508
16:37:0:13, __InstanceCreationEvent, chrome.exe, 10456
16:37:0:349, __InstanceDeletionEvent, chrome.exe, 11992
16:37:0:354, __InstanceDeletionEvent, chrome.exe, 20092
16:37:9:545, __InstanceCreationEvent, chrome.exe, 23420
16:37:9:887, __InstanceDeletionEvent, chrome.exe, 344
16:37:21:573, __InstanceDeletionEvent, backgroundTaskHost.exe, 18284
16:37:22:192, __InstanceCreationEvent, SearchProtocolHost.exe, 7760
16:37:22:207, __InstanceCreationEvent, cltRT.exe, 8760
16:37:23:643, __InstanceDeletionEvent, cltRT.exe, 8760
16:37:43:653, __InstanceDeletionEvent, git.exe, 18464
16:37:43:653, __InstanceDeletionEvent, conhost.exe, 9612
16:37:48:962, __InstanceDeletionEvent, backgroundTaskHost.exe, 6824
16:38:18:558, __InstanceDeletionEvent, RuntimeBroker.exe, 9372
16:38:29:490, __InstanceCreationEvent, conhost.exe, 22316
16:38:29:495, __InstanceCreationEvent, cpptools-srv.exe, 2856
16:38:33:708, __InstanceCreationEvent, cpptools-srv.exe, 18628
16:38:33:712, __InstanceCreationEvent, conhost.exe, 20428
16:38:35:471, __InstanceDeletionEvent, svchost.exe, 9580
16:38:36:855, __InstanceCreationEvent, cpptools-srv.exe, 12996
16:38:36:861, __InstanceCreationEvent, conhost.exe, 13520
16:38:36:861, __InstanceCreationEvent, conhost.exe, 18624
16:38:36:861, __InstanceCreationEvent, cpptools-srv.exe, 20360
16:38:37:581, __InstanceDeletionEvent, conhost.exe, 18624
16:38:37:587, __InstanceDeletionEvent, cpptools-srv.exe, 18628
16:38:37:587, __InstanceDeletionEvent, cpptools-srv.exe, 20360
16:38:37:587, __InstanceDeletionEvent, conhost.exe, 20428
16:38:37:587, __InstanceDeletionEvent, conhost.exe, 22316
16:38:37:587, __InstanceDeletionEvent, cpptools-srv.exe, 2856
16:38:45:272, __InstanceCreationEvent, cpptools-srv.exe, 16348
16:38:45:276, __InstanceCreationEvent, conhost.exe, 8924
16:38:48:203, __InstanceDeletionEvent, cpptools-srv.exe, 12996
16:38:48:207, __InstanceDeletionEvent, conhost.exe, 13520
16:39:0:79, __InstanceCreationEvent, conhost.exe, 22592
16:39:0:84, __InstanceCreationEvent, cpptools-srv.exe, 24056
16:39:0:882, __InstanceDeletionEvent, cpptools-srv.exe, 16348
16:39:0:889, __InstanceDeletionEvent, conhost.exe, 8924
16:39:1:130, __InstanceCreationEvent, cpptools-srv.exe, 1132
16:39:1:134, __InstanceCreationEvent, conhost.exe, 7428
16:39:1:969, __InstanceDeletionEvent, conhost.exe, 17252
16:39:1:973, __InstanceDeletionEvent, cpptools-srv.exe, 24060
16:39:2:166, __InstanceCreationEvent, cpptools-srv.exe, 23076
16:39:2:166, __InstanceCreationEvent, conhost.exe, 24556
16:39:2:166, __InstanceCreationEvent, conhost.exe, 3340
16:39:2:166, __InstanceCreationEvent, cpptools-srv.exe, 3452
16:39:3:25, __InstanceDeletionEvent, conhost.exe, 22592
16:39:3:29, __InstanceDeletionEvent, cpptools-srv.exe, 24056
16:39:3:29, __InstanceDeletionEvent, SearchProtocolHost.exe, 7760
16:39:3:211, __InstanceCreationEvent, cpptools-srv.exe, 16900
16:39:3:215, __InstanceCreationEvent, conhost.exe, 4368
16:39:4:261, __InstanceCreationEvent, cpptools-srv.exe, 23476
16:39:4:265, __InstanceCreationEvent, conhost.exe, 8996
16:39:5:141, __InstanceDeletionEvent, cpptools-srv.exe, 23076
16:39:5:145, __InstanceDeletionEvent, conhost.exe, 3340
16:39:6:178, __InstanceDeletionEvent, conhost.exe, 24556
16:39:6:178, __InstanceDeletionEvent, cpptools-srv.exe, 3452
16:39:6:362, __InstanceCreationEvent, svchost.exe, 16356
16:39:6:362, __InstanceCreationEvent, rundll32.exe, 9832
16:39:8:291, __InstanceDeletionEvent, rundll32.exe, 9832
16:39:21:63, __InstanceDeletionEvent, svchost.exe, 12508
16:40:18:129, __InstanceDeletionEvent, svchost.exe, 5652
16:40:26:638, __InstanceDeletionEvent, audiodg.exe, 20848
16:40:51:43, __InstanceDeletionEvent, conhost.exe, 18224
16:40:51:43, __InstanceDeletionEvent, cpptools-srv.exe, 18888
16:40:52:121, __InstanceDeletionEvent, svchost.exe, 8696
16:41:9:91, __InstanceCreationEvent, taskhostw.exe, 10968
16:41:9:91, __InstanceCreationEvent, sppsvc.exe, 18872
16:41:10:160, __InstanceDeletionEvent, taskhostw.exe, 10968
16:41:11:212, __InstanceCreationEvent, git.exe, 11608
16:41:11:218, __InstanceCreationEvent, git.exe, 13640
16:41:11:218, __InstanceCreationEvent, conhost.exe, 15048
16:41:11:218, __InstanceCreationEvent, git.exe, 23980
16:41:11:218, __InstanceCreationEvent, git.exe, 24112
16:41:11:218, __InstanceCreationEvent, conhost.exe, 8584
